tm,rnum,stnId,stnNm,ta,taQcflg,rn,rnQcflg,ws,wsQcflg,wd,wdQcflg,hm,hmQcflg,pv,td,pa,paQcflg,ps,psQcflg,ss,ssQcflg,icsr,dsnw,hr3Fhsc,dc10Tca,dc10LmcsCa,clfmAbbrCd,lcsCh,vs,gndSttCd,dmstMtphNo,ts,tsQcflg,m005Te,m01Te,m02Te,m03Te
2024-01-01 00:00:00,1,108,서울,0.6,,,9,1.9,,20,,97,,6.2,0.1,1015.4,,1026.3,,,9,,2.4,,0,0,,,394,,19,-0.2,,-0.1,-0.2,0.0,1.0
2024-01-01 01:00:00,2,108,서울,0.5,,,,2.2,,50,,97,,6.1,0.0,1015.6,,1026.5,,,9,,2.4,,0,0,,,402,,19,-0.2,,-0.1,-0.2,0.0,1.0
2024-01-01 02:00:00,3,108,서울,0.4,,,,0.4,,0,,98,,6.2,0.1,1016.2,,1027.1,,,9,,2.4,,6,2,,13,616,,19,-0.3,,-0.1,-0.2,0.0,1.0
2024-01-01 03:00:00,4,108,서울,-0.1,,,,1.7,,20,,98,,6.0,-0.3,1016.6,,1027.5,,,9,,2.4,,1,1,Sc,13,265,,19,-0.3,,-0.1,-0.2,0.0,1.0
2024-01-01 04:00:00,5,108,서울,-0.2,,,,2.2,,20,,98,,5.9,-0.4,1016.8,,1027.7,,,9,,2.4,,6,6,Sc,14,203,,19,-0.3,,-0.1,-0.2,0.0,1.0
2024-01-01 05:00:00,6,108,서울,0.3,,,,1.2,,90,,99,,6.2,0.1,1017.2,,1028.1,,,9,,2.4,,8,8,Sc,10,371,,19,-0.2,,-0.1,-0.2,0.0,1.0
2024-01-01 06:00:00,7,108,서울,0.5,,,,2.0,,50,,99,,6.2,0.3,1017.2,,1028.1,,,9,,2.4,,8,8,Sc,9,257,,19,-0.2,,-0.1,-0.2,0.0,1.0
2024-01-01 07:00:00,8,108,서울,0.4,,,,2.1,,70,,98,,6.2,0.1,1017.5,,1028.4,,,9,,2.4,,4,4,Sc,13,623,,19,-0.2,,-0.1,-0.2,0.0,1.0
2024-01-01 08:00:00,9,108,서울,0.2,,,,0.8,,70,,98,,6.1,0.0,1017.9,,1028.8,,0.0,,0.0,2.4,,4,4,Sc,14,626,,19,-0.3,,-0.1,-0.2,0.1,1.0
2024-01-01 09:00:00,10,108,서울,0.6,,,,1.3,,50,,99,,6.3,0.4,1018.2,,1029.1,,0.5,,0.27,2.4,,1,1,Sc,14,587,,19,-0.3,,-0.1,-0.2,0.1,1.0
